,CLDN10,ADH1C,WNK4,KCNJ1,TEK,CLDN19,TMEM178A,AQP6,FLRT1,MTURN,PEBP1,ATP1A1,PAQR7,MAP6,HSPA2,CLDN14,PTGER1,IRX2,HS6ST2,JPH4,WNT9B,AIF1L,TMEM45B,ACPP,ABCA4,ERVMER34-1,KCNJ10,DUSP9,AFAP1L2,SLC12A1,label
TCGA.KN.8426.11A,0.5235407427317117,0.0666129132295478,0.5537190082644627,0.309074780664447,0.8909121707461676,0.4597471313870859,0.3535582648142897,0.0347370744803325,0.1877086494688922,0.6740643914637264,0.4569301419426663,0.9244823483060662,0.5002311604253352,0.4350121852152721,1.0,0.1513769514120329,0.2435851102276834,0.9417008379390266,0.3675031901318588,0.9231824417009602,0.0875807609475951,0.6165834083053174,0.6760978807078872,0.108195886136407,0.3595610553350455,0.5633534455382662,0.2063339291443237,0.2495797624624541,0.4971618895717032,0.5539269577865419,0
TCGA.KL.8324.11A,0.3841329570398243,0.0315698071078583,0.3452124019582039,0.3055143752885994,0.5259591767595494,0.2014950626019011,0.5236745109157924,0.0132643687437541,0.0943854324734446,0.39404961495837,0.3665659417120591,0.4271367682934109,0.6887424872861766,0.4512591389114541,0.1598816511874436,0.3076653218733555,0.5023491145645104,0.296309502585131,0.3601304409471147,0.6282578875171467,0.0811198851399856,0.4062455608693593,0.2729954118418178,0.3864229765013055,0.0618725192621993,0.3115274690377898,0.2375910903341124,0.236876188376643,0.1919125580522587,0.2166033144777734,0
TCGA.KN.8422.11A,0.5188370738699996,0.0745518824040191,0.770490077380639,0.5049456825527985,0.8224781909037012,0.5638477866305719,0.823362631131273,0.0142993123322073,0.2573596358118361,0.7056633798414367,0.5250089459663632,0.7331671170292783,0.3410772075820619,0.5353371242891958,0.4482223945065899,0.1820733204700929,0.4221178171304662,0.7085041896951328,0.8577910109173401,0.8614540466392318,0.3815506101938263,0.6295397509351769,0.5140922001310902,0.2127618926319811,0.1078683166005136,0.5582724674499842,0.8579678262065172,0.5689051778775938,0.4030116808181263,0.5059344886824161,0
TCGA.KN.8432.11A,0.7195717421493526,0.2270048998325373,0.2075590882770963,0.4427297251318443,0.4499026001524518,0.2884301842680038,0.5500425290615254,0.0434510146482497,0.1121396054628224,0.4430394134864027,0.4301320027036698,0.1822834379315422,0.264678687008784,0.2323314378554021,0.31118776007468,0.1259428170496404,0.4727141308276111,0.3437332857906935,0.2875372182050191,0.438957475994513,0.3269921033740129,0.7207905203844879,0.8731701988201879,0.1444946825447366,0.2219238851272472,0.3794855509685614,0.1254411292909849,0.1701342004464162,0.3876718112304733,0.2000445192851766,0
TCGA.KO.8415.11A,0.3133091430363302,0.0946473981268994,0.2235616149918408,0.3243371327192748,0.4732785635639874,0.2389946780693389,0.5455060958321519,0.0251804623539269,0.0339908952959028,0.3984257338524054,0.3411693372032921,0.3516051878589138,0.3163430420711974,0.256701868399675,0.3838267170862143,0.0526223469566742,0.2609324177809902,0.2742021750757711,0.4117396852403233,0.5610425240054869,0.2598707824838478,0.4058016478052939,0.3528512125846624,0.1130994077564796,0.1257879990660751,0.3489996824388695,0.2864475915486502,0.230538179613657,0.2301449547309658,0.2806431167577726,0
TCGA.KN.8436.11A,0.5894817004882856,0.091484215096446,0.6528399220929619,0.4237003912800447,0.6202252900821547,0.3871166210354693,0.6178055004252906,0.0298566982925804,0.1649468892261001,0.7763064419880082,0.5788885133791897,0.803063526995889,0.4348127600554785,0.430544272948822,0.6696359350030853,0.2094369408875636,0.5496928080954102,0.8534498128008559,0.5433149014603715,0.7887517146776406,0.4099066762383345,0.67512666319428,0.5563688005243609,0.297459084251417,0.4874503852439878,0.4909495077802477,0.4507080984463082,0.3962357739259831,0.5446357367359383,0.504432387610045,0
TCGA.KN.8424.11A,0.5068315190610581,0.1575389195559139,0.3352634626519977,0.390745376333633,1.0,0.3021810686928969,0.582081088743975,0.0285013019875189,0.1473444613050075,0.6314966894944729,0.6918263687328535,0.6688959284301513,0.2458391123439667,0.4431356620633631,0.7005521889783712,0.343623925627083,0.2793639320563787,0.597610982349795,0.4003969941868708,0.6378600823045267,0.2566403445800431,0.5640241015199583,0.4209088922875246,0.1006813984588932,0.0877889329908942,0.3359796760876469,0.3580365736284889,0.3272341480889525,0.3303466716704977,0.3930577102474218,0
TCGA.KN.8429.11A,1.0,0.3718290640699622,0.1350739590461652,0.1384426568158067,0.8508511899720504,0.3214384594087427,0.6368018145732918,0.1118285032009665,0.0441578148710166,0.4703475320394419,0.6105671742674248,0.3646504483064641,0.4268377253814147,0.3549959382615759,0.5865702577409301,0.5097351341869848,1.0,0.4697807095738991,0.1725506876506451,0.6337448559670782,0.5244077530509692,0.8507682655428761,0.5243609351103343,0.1927657135579188,1.0,0.99333121625913,0.0663641780099912,0.1413927085342665,0.4027771262372753,0.1971728554703496,0
TCGA.KN.8435.11A,0.4037539757201093,0.0575575265149165,0.4016423645838816,0.3167181082460447,0.6458880325230796,0.2623127326422002,0.4417351857102353,0.0165021280434106,0.0942336874051593,0.4213293171549543,0.374652101308099,0.515456922385078,0.9054553860379104,0.4833468724614134,0.2037877948831542,0.1152429398351166,0.4915070473436935,0.4678195756819397,0.5462923578619028,0.7174211248285322,0.3984206748025843,0.3658849850845211,0.2427354162114922,0.1418837164872954,0.0649077749241186,0.2559542711972055,0.4211925386131353,0.2999531538482736,0.2584791480977623,0.2568032094666351,0
TCGA.KN.8430.11A,0.4976481655691439,0.1999007628853191,0.5869347791756593,0.3639147446958466,0.351232319810282,0.3364813732426862,0.8210944145165863,0.1083082707659294,0.2317147192716236,0.6168906822767184,0.5609916106715439,0.8899788681107454,0.4537679149329634,0.5138099106417546,0.5554641393604735,0.273987019821084,0.862667148536321,0.6313068283116421,0.3323408478661562,0.3415637860082304,0.1410624551328069,0.7997123443344856,0.6547957177190299,0.0892186206457364,0.5560938594443148,0.6919657033979041,0.2086255098767129,0.2133979993937556,0.6914199934324716,0.3734913144913672,0
TCGA.KN.8437.11A,0.3409040003583747,0.1087266637722508,0.1756066747381165,0.2436629644931586,0.6741763360718218,0.0805364998308056,0.1394953218032322,0.0015049409061453,0.0229135053110773,0.3261913557443665,0.121282453977973,0.2599640240529451,0.396208969024503,0.3761169780666125,0.1098998465262725,0.1075249956148044,0.1297434044091073,0.5157782135853094,0.0667800935772011,1.0,0.0305096913137114,0.209592073488328,0.1369892942975748,0.6794243138253837,0.0359561055335045,0.047316608447126,0.0362528071863971,0.0287139353523106,0.2065018529811887,0.1360675877514192,0
TCGA.KN.8428.11A,0.2983917932177574,0.1319853625255845,0.2995736168868769,0.3430505261622961,0.4926738375539933,0.120527886301412,0.9087042812588602,0.0172688408394436,0.071927162367223,0.3253956977636327,0.2812015426821995,0.3842382371785943,0.4149329634766527,1.0,0.0815625840545543,0.2032976670759516,0.4405493314058547,0.3683366018898199,0.3639585991776549,0.6131687242798354,0.1844938980617372,0.3557400918604101,0.3429102031898624,0.3502515442908999,0.0316367032453887,0.2210225468402667,0.3241211787891287,0.2714045578549974,0.277149692733499,0.1905119547874374,0
TCGA.KL.8336.11A,0.0751691080947901,0.0100477578614401,0.0691161762383534,0.0486426713976717,0.4462606928093503,0.0139354600547574,0.2787071165296285,0.0065467303141148,0.0060698027314112,0.0632548094683299,0.0955826806091209,0.2144966352142439,0.3089459084604715,0.3375304630381803,0.0501242029650491,0.0798105595509559,0.1517889410914347,0.0383312533428418,0.0613923153268112,0.6776406035665294,0.0157932519741564,0.1887814290449358,0.0771247542058116,0.0222887346366936,0.0095727293952836,0.0581136868847253,0.0311654979604931,0.007550497395905,0.1443448890556832,0.0039081815231372,0
TCGA.KN.8423.11A,0.6326658603234332,0.3282887800037214,0.2844133284202769,0.1695506355262838,0.9295333276869654,0.3490017534684837,0.9041678480294868,0.0159822825253573,0.1024279210925644,0.3571936006365264,0.4343067870064808,0.350679921521496,0.622746185852982,0.5922014622258326,0.7310728921095517,0.0701631292755657,0.5348753162269606,0.4712069887680514,0.1811994895789026,0.5541838134430727,1.0,0.6229875941095696,0.6601485689316146,0.1061580589696236,0.93806911043661,1.0,0.1301159539850589,0.1425500840475075,1.0,0.1722862352147545,0
TCGA.KN.8419.11A,0.7260224880168435,0.0416175649692985,0.3106806337842817,0.2899846890417284,0.4237316845938849,0.3746577660196266,0.1531046214913524,0.0366194374749275,0.0933232169954476,0.6627830979511806,0.5719355095224842,0.6747042132450384,0.2807443365695792,0.2193338748984565,0.476702055282186,1.0,0.278641127574991,0.5396683900873597,0.4345668509853963,0.6378600823045267,0.1033740129217516,0.5119501396846442,0.5636880052436094,0.4139973253518436,0.102790100396918,0.2283264528421721,0.1923094550621018,0.3246989445837581,0.1659239104939719,0.6086245070168851,0
TCGA.KL.8326.11A,0.1912377368633248,0.0953296532903305,0.2020845396641575,0.2134906554548326,0.3639366477513339,0.0519888024117882,0.74113977884888,0.019837210019963,0.0409711684370257,0.2452615725611662,0.347376843863067,0.2405334309671719,0.5087840961627369,0.8773354995938261,0.1679192443396674,0.0477109279073846,0.167690639681966,0.1706186486004635,0.1409329363391464,0.3868312757201646,0.1773151471643934,0.3007954922108055,0.1994756390648896,0.0910017194166719,0.070978286247957,0.5103207367418228,0.2083046885741784,0.1481440656948386,0.2496129849415959,0.0581809284140089,0
TCGA.KN.8425.11A,0.711373919276083,0.0563170625814054,0.863504763910091,0.7554499720514254,0.6576607097484544,1.0,0.464984406010774,0.0665615898252701,1.0,1.0,1.0,0.9731573271144824,0.3723994452149791,0.6636880584890332,0.8861921111339651,0.1808454657077705,0.7867726779906036,0.8345516134783384,0.8490004253509146,0.9026063100137174,0.2875089734386217,1.0000000000000002,1.0,0.1751894542444119,0.1257879990660751,0.4099714194982534,1.0,1.0,0.5079044893746775,1.0,0
