,hsa-mir-200a,hsa-mir-514a-2,hsa-mir-23b,hsa-mir-509-3,hsa-mir-616,hsa-mir-514a-1,hsa-mir-508,hsa-mir-3065,hsa-mir-199b,hsa-mir-27b,hsa-mir-199a-1,hsa-mir-30c-2,hsa-mir-885,hsa-mir-204,hsa-mir-200b,hsa-mir-675,hsa-mir-497,hsa-mir-514a-3,hsa-mir-93,hsa-mir-185,hsa-mir-222,hsa-mir-199a-2,hsa-mir-363,hsa-mir-106b,hsa-mir-1-1,hsa-mir-203a,hsa-mir-10b,hsa-mir-1-2,hsa-mir-21,hsa-mir-200c,label
TCGA.KN.8426.11A,0.8036866359447004,0.0121212121212121,0.6036539895600297,0.0178571428571428,0.2,0.0189873417721519,0.016453382084095,0.2040816326530612,0.2282049187025083,0.2641286356112556,0.2181396888447534,0.3641655886157827,0.018348623853211,0.0990443092962641,0.5527704485488127,0.220440881763527,0.1408450704225352,0.0124223602484472,0.1443333898017956,0.0711610486891385,0.0340136054421768,0.2289168765743073,0.088235294117647,0.0910209102091021,0.2580645161290322,0.6496580746975277,0.5699717496390231,0.2333333333333333,0.2225174695155018,0.1588871920855189,0
TCGA.KL.8324.11A,0.6746543778801842,0.2787878787878788,0.5820283370618942,0.375,0.1333333333333333,0.310126582278481,0.3071297989031079,0.7142857142857143,0.2079418253125255,0.4625206904705604,0.1903343263819927,0.5071151358344115,0.0045871559633027,0.4313640312771503,0.3212401055408971,0.0480961923847695,0.5211267605633804,0.3043478260869565,0.0853803150940199,0.0449438202247191,0.0068027210884353,0.2016120906801007,0.1470588235294117,0.1094710947109471,0.3225806451612903,0.3243029984218832,0.5012518048841734,0.3,0.090188149135175,0.0601553681694442,0
TCGA.KN.8422.11A,0.6534562211981566,0.303030303030303,0.7140193885160329,0.2321428571428571,0.1333333333333333,0.3037974683544304,0.2760511882998172,0.8299319727891156,0.1715009396192499,0.4190115866635138,0.1569016881827209,0.6235446313065978,0.0091743119266055,0.4248479582971329,0.420844327176781,0.158316633266533,0.2394366197183099,0.2857142857142857,0.091987125190581,0.0374531835205992,0.0040816326530612,0.1663476070528967,0.2117647058823529,0.1180811808118081,0.3870967741935484,0.4334560757496054,0.5964668215204971,0.4333333333333333,0.0320003305392437,0.064670340614833,0
TCGA.KN.8432.11A,0.8552995391705068,0.0363636363636363,0.609992542878449,0.0357142857142857,0.0666666666666666,0.0443037974683544,0.0292504570383912,0.3061224489795918,0.2009151074434185,0.4495152518325845,0.2092022509102946,0.6675291073738681,0.0045871559633027,0.0968722849695916,0.7440633245382586,0.501002004008016,0.1408450704225352,0.0434782608695652,0.2278502456378112,0.097378277153558,0.0163265306122449,0.2092695214105793,0.188235294117647,0.1254612546125461,0.2258064516129032,0.825881115202525,0.4523071128131081,0.2,0.1022760725740227,0.2691720337295001,0
TCGA.KO.8415.11A,0.5861751152073732,0.2181818181818181,0.6342281879194631,0.25,0.0,0.2278481012658227,0.2285191956124314,0.4761904761904761,0.1735435901625949,0.4518798770394892,0.1583912611717974,0.6468305304010349,0.0091743119266055,0.4661164205039096,0.3614775725593667,0.3266533066132264,0.323943661971831,0.2360248447204968,0.0891072336100287,0.0411985018726591,0.0285714285714285,0.1684634760705289,0.1705882352941176,0.1279212792127921,0.7419354838709677,0.3726985796948974,0.5506334358716806,0.8666666666666667,0.0272823993017358,0.0811367107097802,0
TCGA.KN.8436.11A,0.7032258064516128,0.0121212121212121,0.4917971662938106,0.0178571428571428,0.1333333333333333,0.0063291139240506,0.0109689213893967,0.3605442176870748,0.1648010458370782,0.4305982501773469,0.1734524991724594,0.7710219922380337,0.018348623853211,0.1785403996524761,0.4716358839050131,0.8597194388777555,0.2676056338028169,0.0124223602484472,0.1958326274775537,0.097378277153558,0.0285714285714285,0.1710831234256927,0.188235294117647,0.2312423124231242,0.4838709677419355,0.7259337190952131,0.6072346035532675,0.3,0.0308331138346167,0.1385698160812695,0
TCGA.KN.8424.11A,0.6691244239631335,0.0424242424242424,0.528709917971663,0.0714285714285714,0.0666666666666666,0.050632911392405,0.0585009140767824,0.5034013605442177,0.1350600539259743,0.3535114684322534,0.1223104932141675,0.644890038809832,0.0045871559633027,0.3245004344048653,0.4135883905013192,0.1743486973947895,0.2535211267605634,0.0372670807453416,0.0713196679654412,0.0337078651685393,0.0421768707482993,0.1283627204030226,0.1764705882352941,0.1230012300123001,0.1290322580645161,0.6609679116254603,0.6534321049657856,0.2,0.0298001786977786,0.0799415709448243,0
TCGA.KN.8429.11A,0.6387096774193548,0.006060606060606,0.7218493661446681,0.0178571428571428,0.1333333333333333,0.0,0.0091407678244972,0.129251700680272,0.1696217011193725,0.3544573185150153,0.1764316451506123,0.48124191461837,0.018348623853211,0.1368375325803648,0.4947229551451187,0.6793587174348696,0.1126760563380281,0.0062111801242236,0.1384042012535998,0.0786516853932584,0.0231292517006802,0.175617128463476,0.1235294117647058,0.063960639606396,0.1612903225806451,0.7409258285113098,0.6004294054868479,0.2,0.0305387273206179,0.2033065533497111,0
TCGA.KN.8435.11A,0.5631336405529953,0.2727272727272727,0.5708426547352721,0.4464285714285714,0.1333333333333333,0.2721518987341772,0.2961608775137111,0.3469387755102041,0.2124356565078846,0.3081106644596831,0.2151605428666004,0.572445019404916,0.0045871559633027,0.2827975673327541,0.4036939313984168,0.1142284569138276,0.4084507042253521,0.2670807453416149,0.1167203117059122,0.0674157303370786,0.0095238095238095,0.2173299748110831,0.2117647058823529,0.1045510455104551,0.2903225806451612,0.2782745923198316,0.5249846192479126,0.3,0.2080718716268212,0.1112143947945023,0
TCGA.KN.8430.11A,0.9723502304147464,0.0181818181818181,0.7945563012677106,0.0178571428571428,0.0666666666666666,0.0126582278481012,0.0127970749542961,0.2176870748299319,0.285644251981371,0.7221565381886971,0.2840119165839126,0.7852522639068564,0.018348623853211,0.1329278887923544,1.0,0.4549098196392785,0.2676056338028169,0.0186335403726708,0.1441639844147043,0.1310861423220973,0.0326530612244897,0.2897732997481108,0.1705882352941176,0.2054120541205412,0.1935483870967742,0.6948974224092583,0.4816874882290162,0.2,0.0973128192415157,0.2217648230529181,0
TCGA.KN.8437.11A,0.5483870967741935,0.0121212121212121,0.622296793437733,0.0357142857142857,0.0666666666666666,0.0189873417721519,0.0347349177330895,0.0816326530612245,0.242748590571125,0.365334594466777,0.2707712677921218,0.2567917205692109,0.0045871559633027,0.1433536055603822,0.4465699208443272,0.0140280561122244,0.5492957746478874,0.0124223602484472,0.0723361002879891,0.0,0.0136054421768707,0.2643828715365239,0.1,0.1168511685116851,1.0,0.3600736454497633,0.5950003138928996,1.0,0.0748697210558663,0.0664630502622667,0
TCGA.KN.8428.11A,0.5576036866359446,0.3757575757575757,0.4328859060402684,0.2321428571428571,0.1333333333333333,0.3481012658227848,0.2559414990859232,0.5306122448979591,0.1895579704224201,0.5386616221328919,0.189175769612711,0.7445019404915914,0.0091743119266055,0.4978279756733275,0.3680738786279683,0.0220440881763527,0.647887323943662,0.3540372670807453,0.1710994409622225,0.1011235955056179,0.0095238095238095,0.1928463476070529,0.2294117647058823,0.1697416974169742,0.2580645161290322,0.1262493424513414,0.4847335049281185,0.3,0.128812176239393,0.0733019055839585,0
TCGA.KL.8336.11A,0.6894009216589861,0.0787878787878787,0.6830723340790454,0.125,0.1333333333333333,0.0696202531645569,0.0585009140767824,0.0544217687074829,0.3465152381730533,0.5325135965949397,0.3558424362793776,0.3389391979301423,0.0091743119266055,0.1203301476976542,0.3852242744063324,0.1863727454909819,1.0,0.0683229813664596,0.3770963916652549,0.3333333333333333,0.0829931972789115,0.3582871536523929,0.1058823529411764,0.4538745387453874,0.064516129032258,0.1685954760652288,0.2947429217151108,0.1333333333333333,0.634397772991845,0.0762897549963481,0
TCGA.KN.8423.11A,0.728110599078341,0.0181818181818181,1.0,0.0357142857142857,0.0666666666666666,0.0189873417721519,0.0109689213893967,0.6802721088435374,0.241114470136449,0.5504847481674154,0.2404832836809003,0.4087968952134541,0.018348623853211,0.0564726324934839,0.4610817941952506,1.0,0.1408450704225352,0.0062111801242236,0.1590716584787396,0.0449438202247191,0.0530612244897959,0.2450377833753148,0.088235294117647,0.1488314883148832,0.7741935483870968,0.5670699631772751,0.4096101450185196,0.8,0.094934486088946,0.201779430316712,0
TCGA.KN.8419.11A,0.7400921658986175,0.0181818181818181,0.4824757643549589,0.0535714285714285,0.1333333333333333,0.0189873417721519,0.0329067641681901,0.2108843537414965,0.1400441212517362,0.2742965240009458,0.138861304203906,0.5304010349288486,0.018348623853211,0.2389226759339704,0.604221635883905,0.4008016032064128,0.1971830985915493,0.0248447204968944,0.120447230221921,0.0337078651685393,0.0054421768707483,0.145088161209068,0.1294117647058823,0.030750307503075,0.2580645161290322,0.7622304050499737,0.646920710653525,0.2666666666666666,0.0395820744436353,0.1031803997078547,0
TCGA.KL.8326.11A,0.4912442396313364,0.2242424242424242,0.4004474272930649,0.25,0.0,0.2341772151898734,0.1773308957952468,0.45578231292517,0.1667619903586894,0.6200047292504138,0.1593843098311817,0.6578266494178526,0.0,0.5034752389226759,0.2467018469656992,0.034068136272545,0.6901408450704226,0.217391304347826,0.0857191258682026,0.0674157303370786,0.0176870748299319,0.1636272040302267,0.188235294117647,0.1918819188191882,0.2903225806451612,0.1344029458179905,0.4679841797978529,0.3,0.1012586314642372,0.0580306752539672,0
TCGA.KN.8425.11A,0.76036866359447,0.0121212121212121,0.4556301267710663,0.0178571428571428,0.0666666666666666,0.0063291139240506,0.0036563071297989,0.1156462585034013,0.102622763297655,0.2442657838732561,0.107083747103608,0.6681759379042691,0.0091743119266055,0.154648132059079,0.6972295514511873,0.282565130260521,0.1690140845070422,0.0062111801242236,0.1370489581568694,0.0674157303370786,0.0,0.1077078085642317,0.1470588235294117,0.062730627306273,0.064516129032258,0.8926880589163598,0.6482591499780275,0.0666666666666666,0.0207723256018138,0.1023172432109421,0
TCGA.KN.8431.11A,0.8589861751152074,0.0303030303030303,0.6771066368381804,0.0357142857142857,0.1333333333333333,0.0316455696202531,0.0274223034734917,0.2517006802721088,0.1316284010131546,0.456845589973989,0.1290963257199602,0.6584734799482537,0.0091743119266055,0.2428323197219808,0.608179419525066,0.7795591182364728,0.1408450704225352,0.0248447204968944,0.1517872268338133,0.0674157303370786,0.0231292517006802,0.131889168765743,0.1117647058823529,0.1045510455104551,0.1612903225806451,0.9024197790636508,0.5828212693828865,0.1666666666666666,0.0303347226310923,0.1588871920855189,0
TCGA.KO.8403.11A,0.8285714285714285,0.0363636363636363,0.9038031319910512,0.0535714285714285,0.1333333333333333,0.0379746835443038,0.0402193784277879,0.3469387755102041,0.2602336792221587,0.5284937337432016,0.2378351539225422,0.7697283311772316,0.018348623853211,0.1607298001737619,0.5567282321899736,0.6172344689378757,0.2535211267605634,0.031055900621118,0.1421311197696086,0.1011235955056179,0.0326530612244897,0.2525944584382871,0.1647058823529411,0.1660516605166052,0.2903225806451612,0.7219884271436087,0.4838571159520372,0.2666666666666666,0.0649819494584837,0.0887723258747759,0
TCGA.KN.8427.11A,0.7907834101382488,0.4848484848484848,0.6539895600298284,0.5,0.1333333333333333,0.4556962025316455,0.449725776965265,0.1972789115646258,0.2242830296592858,0.4305982501773469,0.2236014564713671,0.941785252263907,0.0045871559633027,0.1689834926151172,0.9762532981530344,0.1823647294589178,0.3380281690140845,0.4596273291925465,0.1921057089615449,0.1647940074906367,0.0095238095238095,0.2277078085642317,0.3352941176470588,0.1574415744157442,0.4838709677419355,0.4689637033140452,0.3401820578818507,0.5666666666666667,0.239287171462068,0.1462054312462652,0
TCGA.KN.8434.11A,0.6654377880184331,0.2848484848484848,0.4735272184936613,0.3571428571428571,0.0666666666666666,0.2784810126582278,0.2486288848263254,0.891156462585034,0.1411880055560094,0.8413336486166942,0.1357166501158556,0.963777490297542,0.0045871559633027,1.0,0.4894459102902374,0.0380761523046092,0.5492957746478874,0.2732919254658384,0.1228189056411994,0.0449438202247191,0.0040816326530612,0.1379345088161209,0.2529411764705882,0.1476014760147601,0.1612903225806451,0.1394003156233561,0.6383275786301713,0.1666666666666666,0.0495989629331226,0.0675253967200053,0
